r_d,theta,repetition,kappa,genetic_entropy,phenotype_entropy,rectime
0.0,0.0,0,-1.6359129931950933,2.6871586948835207,0.694025381767623,129.0
0.0,0.0,1,-0.8658789518084551,2.0608663904724986,0.80728218622743,154.0
0.0,0.0,2,-1.5453592755808623,2.737254945185637,0.7583943362141223,140.0
0.0,0.0,3,-1.495602314054064,2.61573480832682,0.7444530023289871,165.0
0.0,0.0,4,-1.8376878985902516,2.6757410804262447,0.6504269670422247,122.0
0.0,0.0,5,-1.22021928716502,2.278853712280722,0.7179570649375935,141.0
0.0,0.0,6,-0.8178104827943571,2.0035312797395224,0.8135649125446868,130.0
0.0,0.0,7,-1.3823810928396654,2.5072573510297196,0.7169778792056327,139.0
0.0,0.0,8,-0.7654975336223936,2.2796341858913243,0.9057496908642579,128.0
0.0,0.0,9,-1.1421821584300909,2.2722401431726467,0.7464768737533323,124.0
0.0,0.1,0,-2.258701788274148,3.0078090081924067,0.5924353935367229,119.0
0.0,0.1,1,-1.7097701422305271,2.817991312366551,0.7447265294545935,135.0
0.0,0.1,2,-2.3858573887234273,3.116888027378743,0.6519958242444951,165.0
0.0,0.1,3,-2.486527980066892,3.0555626904367674,0.6149209847882545,125.0
0.0,0.1,4,-2.011980230417881,2.906938376606835,0.7473714116392376,139.0
0.0,0.1,5,-2.1445780541638824,2.8180414632710087,0.585423093986658,124.0
0.0,0.1,6,-2.3301210223403817,2.7947251512932643,0.5113987980997476,121.0
0.0,0.1,7,-2.253902869328007,2.922827645832932,0.6010219029758854,146.0
0.0,0.1,8,-1.511271219713941,2.4209547950286616,0.6665000848578007,156.0
0.0,0.1,9,-2.7616864325469512,3.1041054635034273,0.6164042578156507,121.0
0.0,0.2,0,-2.470897007294719,2.686934208285785,0.46784409923269865,150.0
0.0,0.2,1,-2.8183105576487693,3.1689566912896376,0.5231394446741892,125.0
0.0,0.2,2,-3.0164549278188026,3.1535299632745115,0.513454823530656,192.0
0.0,0.2,3,-2.0250587052840068,2.713269247081093,0.5867404851706962,164.0
0.0,0.2,4,-2.330036639512301,2.9905589329954774,0.5618962200480397,123.0
0.0,0.2,5,-1.7000092792880217,2.4644219678220525,0.6146245451200649,144.0
0.0,0.2,6,-1.7208386871237076,2.630815549169941,0.6670741204952855,139.0
0.0,0.2,7,-1.8618094281195154,2.563390735742172,0.5929019126800419,159.0
0.0,0.2,8,-2.922046079394159,3.343514065790381,0.630070589158272,118.0
0.0,0.2,9,-3.3650150917514563,3.115046468341034,0.5057764085772138,118.0
0.0,0.30000000000000004,0,-3.028267790887765,2.938761058996988,0.416494233700879,125.0
0.0,0.30000000000000004,1,-2.801553735942246,2.876571001968726,0.4430932359679231,131.0
0.0,0.30000000000000004,2,-1.6308413530102321,2.6125699229929182,0.6812971391894612,106.0
0.0,0.30000000000000004,3,-2.8629446515865524,2.798824160417132,0.43202589469244607,124.0
0.0,0.30000000000000004,4,-1.2541113266685013,2.6864379929382722,0.8384893344054702,144.0
0.0,0.30000000000000004,5,-2.3337452410944137,2.76786713805201,0.5002881318441542,140.0
0.0,0.30000000000000004,6,-2.553425595648505,2.610625681241488,0.4282699996022695,133.0
0.0,0.30000000000000004,7,-2.6557734471084244,2.884616978011933,0.4863512533756766,106.0
0.0,0.30000000000000004,8,-2.119627630540888,2.7995464276268973,0.5783889705551386,131.0
0.0,0.30000000000000004,9,-3.3087900457826214,3.075025836283032,0.45328699838981956,129.0
0.0,0.4,0,-1.0363570224697367,2.1684316101917136,0.8177441629691782,95.0
0.0,0.4,1,-2.317764866963951,2.861644930284674,0.6071541776507483,119.0
0.0,0.4,2,-1.3260129685389335,2.3258208228405084,0.7450701321943799,99.0
0.0,0.4,3,-1.0832293665622204,2.054865575291481,0.7807614280827615,99.0
0.0,0.4,4,-2.473800283821086,3.041354731653047,0.6445037449775146,132.0
0.0,0.4,5,-1.698652377573406,2.838212690357807,0.7717036806161479,114.0
0.0,0.4,6,-1.5988768775430553,2.7280902448649544,0.8053358155232945,128.0
0.0,0.4,7,-2.1735402137914037,2.5285243921885687,0.5169286141353684,101.0
0.0,0.4,8,-1.5236858477225577,2.7050092687165335,0.7835073032896063,110.0
0.0,0.4,9,-2.22466309376377,3.0296240291372922,0.6794316944854931,118.0
0.0,0.5,0,-0.28881589557601123,2.0179965174703947,0.989241202899773,119.0
0.0,0.5,1,-0.33348845603627675,2.2861750823196294,0.9934367372723477,488.0
0.0,0.5,2,-0.32209947361784025,1.9424853075958994,0.9863968299031998,112.0
0.0,0.5,3,-0.5393537586322773,2.040628612924376,0.95167115920841,120.0
0.0,0.5,4,-0.8711718607667412,1.9925423747528248,0.8649759117346831,95.0
0.0,0.5,5,-0.9040540218198332,1.9273145669955571,0.847066294420346,96.0
0.0,0.5,6,-0.8565082876007677,1.9220882902550152,0.8581782524775294,102.0
0.0,0.5,7,-0.1578323410024393,1.7155837237851923,0.9958953763980696,108.0
0.0,0.5,8,-0.4658935572009833,1.9895485004669222,0.9607659901238484,114.0
0.0,0.5,9,-0.5718545115051465,2.2515123957480414,0.9683151707247444,102.0
0.0,0.6000000000000001,0,-0.33825343219375864,1.544258962657481,0.9775929776500358,111.0
0.0,0.6000000000000001,1,-0.39792453866493777,1.660468663264341,0.9712874717748246,106.0
0.0,0.6000000000000001,2,-0.2339213224037609,1.6487920726364829,0.9901738671043444,107.0
0.0,0.6000000000000001,3,-0.5194925287245541,1.9262535560485463,0.9595233782267896,103.0
0.0,0.6000000000000001,4,-0.32554885630965924,1.6732995019078458,0.979370335172239,97.0
0.0,0.6000000000000001,5,-0.19086779155089992,1.6148832302812264,0.9944447372450731,102.0
0.0,0.6000000000000001,6,-0.04477903179271716,1.670099002396013,0.9999281282109573,120.0
0.0,0.6000000000000001,7,-0.22857674760002358,1.8021321687073515,0.9919025555999492,93.0
0.0,0.6000000000000001,8,-0.16171213589441683,1.683166532358972,0.9961308784961204,113.0
0.0,0.6000000000000001,9,-0.2872549650219016,1.6558576998690806,0.9862869317822971,107.0
0.0,0.7000000000000001,0,-0.31246162215490253,1.5959552112026048,0.9851723537879591,107.0
0.0,0.7000000000000001,1,-0.1629742894890698,1.5333864592888664,0.9970203891866513,109.0
0.0,0.7000000000000001,2,-0.18907678289819455,1.4374021165139217,0.9947694127686346,119.0
0.0,0.7000000000000001,3,-0.18701934209345233,1.4620868640484364,0.9947066307521003,100.0
0.0,0.7000000000000001,4,-0.1488259532139397,1.539792367174664,0.9971533091813283,93.0
0.0,0.7000000000000001,5,-0.2291795830744285,1.48158635030938,0.9914218176254417,105.0
0.0,0.7000000000000001,6,-0.1349241577621968,1.5054235892574157,0.9983523799835855,98.0
0.0,0.7000000000000001,7,-0.13273028332163053,1.4915187600892816,0.9970572113780758,99.0
0.0,0.7000000000000001,8,-0.23432559568268352,1.4960230773691077,0.9916657145533081,102.0
0.0,0.7000000000000001,9,-0.1463470419196666,1.4833095792060296,0.9975512138600386,125.0
0.0,0.8,0,-0.1365828842907121,1.367010374393947,0.9981802593173407,100.0
0.0,0.8,1,-0.1979819586601057,1.3550897072082888,0.9961037491025221,94.0
0.0,0.8,2,-0.11614802018115983,1.3644671198294391,0.998393996636239,98.0
0.0,0.8,3,-0.19106340787492884,1.3411604490821196,0.9958675739722991,102.0
0.0,0.8,4,-0.23034684074683465,1.4047364761595516,0.9936591686050724,116.0
0.0,0.8,5,-0.23982334939109198,1.3940608628672435,0.9935819829382031,94.0
0.0,0.8,6,-0.21869220748284948,1.3960065063007048,0.9951541779723727,115.0
0.0,0.8,7,-0.1549223880212039,1.33392201594337,0.9974616795924308,111.0
0.0,0.8,8,-0.18574863705261985,1.4163025073619235,0.9964169948869301,104.0
0.0,0.8,9,-0.2096410342091485,1.3817881556176945,0.9944384602051567,116.0
0.0,0.9,0,-0.1553548786816779,1.201861893415324,0.9982702651243227,108.0
0.0,0.9,1,-0.142062172921527,1.2668160596344413,0.9982827547118024,110.0
0.0,0.9,2,-0.2154084198018234,1.2514175960685767,0.9968381073648045,99.0
0.0,0.9,3,-0.12070940972853877,1.2402870508173458,0.9987892626244559,113.0
0.0,0.9,4,-0.17941138928004233,1.2770338378422317,0.9977874969979218,91.0
0.0,0.9,5,-0.14165301960324048,1.2352586108864256,0.9987977508253638,90.0
0.0,0.9,6,-0.2393610599290732,1.2613648498243129,0.9960485665118228,96.0
0.0,0.9,7,-0.20446490419546323,1.2676797930878634,0.9975544443327553,121.0
0.0,0.9,8,-0.2018082904942254,1.2537319959719024,0.9967647649157358,115.0
0.0,0.9,9,-0.17081317544794794,1.2242861763452222,0.9974954106051677,118.0
0.0,1.0,0,-0.1701887817134992,1.200404020872714,0.998628137741405,98.0
0.0,1.0,1,-0.16711422800069126,1.2138512461105262,0.9988177798233857,102.0
0.0,1.0,2,-0.15179405417251926,1.2111189283345811,0.9994404416805386,94.0
0.0,1.0,3,-0.19459990686567535,1.1753766836408963,0.9984807643883136,112.0
0.0,1.0,4,-0.19311399800722637,1.1624347439363512,0.9983245019698448,108.0
0.0,1.0,5,-0.19814612247816374,1.2329919364247792,0.99841594109322,89.0
0.0,1.0,6,-0.18979371986997084,1.1905151065713966,0.9981896613586514,107.0
0.0,1.0,7,-0.1996142136968936,1.121944081487323,0.9984193073394089,126.0
0.0,1.0,8,-0.2550367127552854,1.1973795088075398,0.9976372386084393,98.0
0.0,1.0,9,-0.2373139183398575,1.2025950568799746,0.99779902151095,89.0
0.05,0.0,0,1.7812331248062268,2.1732112688477945,0.4471697646139935,54.0
0.05,0.0,1,1.7646413968791501,2.2087480447891115,0.4578223365039227,73.0
0.05,0.0,2,1.7851509793256262,2.155709783072121,0.43835478828942387,56.0
0.05,0.0,3,1.7141382760756394,2.2227387689840086,0.47861193490328474,64.0
0.05,0.0,4,1.7763400262707547,2.1344215270352604,0.4399830352472897,95.0
0.05,0.0,5,1.7644274360465841,2.170129500558876,0.458652568254938,53.0
0.05,0.0,6,1.817609265524137,2.169526065409431,0.43404125845025165,66.0
